version,industry_specialty_id,form_id
v2.0.101,1,5
v2.0.101,1,6
v2.0.101,2,6
v2.0.101,3,5
v2.0.101,3,6
v2.0.101,4,6
v2.0.101,5,6
v2.0.101,6,6
v2.0.101,7,6
v2.0.101,8,6
v2.0.101,9,5
v2.0.101,9,6
v2.0.101,10,12
v2.0.101,11,5
v2.0.101,11,8
v2.0.101,12,8
v2.0.101,13,12
v2.0.101,14,6
v2.0.101,15,15
v2.0.101,15,16
v2.0.101,16,1
v2.0.101,16,15
v2.0.101,16,16
v2.0.101,17,15
v2.0.101,17,16
v2.0.101,18,1
v2.0.101,19,15
v2.0.101,19,16
v2.0.101,20,1
v2.0.101,20,15
v2.0.101,20,16
v2.0.101,21,1
v2.0.101,21,15
v2.0.101,21,16
v2.0.101,22,15
v2.0.101,22,16
v2.0.101,23,15
v2.0.101,23,16
v2.0.101,24,16
v2.0.101,25,15
v2.0.101,25,16
v2.0.101,26,15
v2.0.101,26,16
v2.0.101,27,15
v2.0.101,27,16
v2.0.101,28,15
v2.0.101,28,16
v2.0.101,29,15
v2.0.101,29,16
v2.0.101,30,15
v2.0.101,30,16
v2.0.101,31,16
v2.0.101,32,16
v2.0.101,33,16
v2.0.101,34,15
v2.0.101,34,16
v2.0.101,35,15
v2.0.101,35,16
v2.0.101,36,15
v2.0.101,36,16
v2.0.101,37,15
v2.0.101,37,16
v2.0.101,38,15
v2.0.101,38,16
v2.0.101,39,15
v2.0.101,39,16
v2.0.101,40,15
v2.0.101,41,15
v2.0.101,42,15
v2.0.101,43,15
v2.0.101,44,15
v2.0.101,45,15
v2.0.101,46,16
v2.0.101,47,15
v2.0.101,47,16
v2.0.101,48,15
v2.0.101,48,16
v2.0.101,49,15
v2.0.101,49,16
v2.0.101,50,16
v2.0.101,51,15
v2.0.101,51,16
v2.0.101,52,16
v2.0.101,53,15
v2.0.101,53,16
v2.0.101,54,15
v2.0.101,54,16
v2.0.101,55,15
v2.0.101,55,16
v2.0.101,56,15
v2.0.101,56,16
v2.0.101,57,15
v2.0.101,57,16
v2.0.101,58,16
v2.0.101,59,15
v2.0.101,59,16
v2.0.101,60,15
v2.0.101,60,16
v2.0.101,61,15
